time,price
1611864000,32641
1611867600,32644
1611871200,33270
1611874800,33540
1611878400,33443
1611882000,34243
1611885600,33950
1611889200,34071
1611892800,33823
1611896400,33115
1611900000,33043
1611903600,32536
1611907200,32314
1611910800,36321
1611914400,36983
1611918000,36700
1611921600,37114
1611925200,37966
1611928800,38351
1611932400,37159
1611936000,37191
1611939600,36063
1611943200,35718
1611946800,35211
1611950400,34304
1611954000,34569
1611957600,34656
1611961200,34489
1611964800,34253
1611968400,34255
1611972000,34117
1611975600,33846
1611979200,33284
1611982800,33486
1611986400,33505
1611990000,33808
1611993600,34034
1611997200,33908
1612000800,34295
1612004400,34325
1612008000,33642
1612011600,33766
1612015200,34273
1612018800,34257
1612022400,34237
1612026000,33965
1612029600,34267
1612033200,34367
1612036800,34313
1612040400,34180
1612044000,34720
1612047600,34581
1612051200,34313
1612054800,34116
1612058400,34229
1612062000,33771
1612065600,33945
1612069200,34061
1612072800,33765
1612076400,33652
1612080000,33628
1612083600,33600
1612087200,33301
1612090800,33663
1612094400,33572
1612098000,33993
1612101600,33693
1612105200,33352
1612108800,32887
1612112400,32934
1612116000,32304
1612119600,32464
1612123200,32834
1612126800,32882
1612130400,32613
1612134000,32992
1612137600,33105
1612141200,32581
1612144800,33448
1612148400,33669
1612152000,33595
1612155600,33568
1612159200,33776
1612162800,33546
1612166400,33828
1612170000,34520
1612173600,34378
1612177200,34179
1612180800,34204
1612184400,33771
1612188000,33683
1612191600,33531
1612195200,33152
1612198800,33428
1612202400,33988
1612206000,33746
1612209600,33848
1612213200,33832
1612216800,33671
1612220400,33552
1612224000,33501
1612227600,33767
1612231200,33767
1612234800,33693
1612238400,33589
1612242000,33913
1612245600,34034
1612249200,34153
1612252800,34258
1612256400,34706
1612260000,35365
1612263600,35184
1612267200,34714
1612270800,34799
1612274400,34872
1612278000,34814
1612281600,34728
1612285200,34982
1612288800,34875
1612292400,35300
1612296000,35802
1612299600,35816
1612303200,35677
1612306800,35616
1612310400,35512
1612314000,36164
1612317600,35910
1612321200,35928
1612324800,36462
1612328400,36680
1612332000,36525
1612335600,36617
1612339200,36344
1612342800,36049
1612346400,35873
1612350000,36032
1612353600,35999
1612357200,36230
1612360800,36587
1612364400,36575
1612368000,36915
1612371600,37195
1612375200,37223
1612378800,37165
1612382400,36853
1612386000,37086
1612389600,37290
1612393200,37325
1612396800,37691
1612400400,38136
1612404000,38230
1612407600,37956
1612411200,37546
1612414800,37727
1612418400,37652
1612422000,38145
1612425600,37900
1612429200,37392
1612432800,37553
1612436400,37642
1612440000,37346
1612443600,37642
1612447200,37632
1612450800,36809
1612454400,36613
1612458000,36969
1612461600,36921
1612465200,37182
1612468800,37500
1612472400,37674
1612476000,37688
1612479600,37287
1612483200,36980
1612486800,37016
1612490400,36652
1612494000,36977
1612497600,37392
1612501200,37297
1612504800,37096
1612508400,37416
1612512000,37716
1612515600,37761
1612519200,37279
1612522800,37435
1612526400,37723
1612530000,37908
1612533600,38337
1612537200,38150
1612540800,38033
1612544400,37840
1612548000,37918
1612551600,37415
1612555200,37632
1612558800,37760
1612562400,37847
1612566000,37819
1612569600,38353
1612573200,38777
1612576800,38837
1612580400,39412
1612584000,39393
1612587600,39200
1612591200,39043
1612594800,39300
1612598400,39406
1612602000,39461
1612605600,39936
1612609200,40070
1612612800,40235
1612616400,39996
1612620000,40183
1612623600,40343
1612627200,40934
1612630800,40673
1612634400,40244
1612638000,40349
1612641600,40217
1612645200,40133
1612648800,40091
1612652400,40043
1612656000,39293
1612659600,39612
1612663200,38673
1612666800,38806
1612670400,38868
1612674000,38374
1612677600,38558
1612681200,38551
1612684800,39063
1612688400,39535
1612692000,39559
1612695600,39357
1612699200,39072
1612702800,38875
1612706400,38686
1612710000,38273
1612713600,37952
1612717200,38224
1612720800,37901
1612724400,38295
1612728000,38127
1612731600,38528
1612735200,38594
1612738800,38850
1612742400,38893
1612746000,38791
1612749600,38587
1612753200,38295
1612756800,38098
1612760400,38614
1612764000,38713
1612767600,39044
1612771200,39323
1612774800,39224
1612778400,38998
1612782000,39464
1612785600,39469
1612789200,43172
1612792800,43055
1612796400,43661
1612800000,43844
1612803600,43273
1612807200,43152
1612810800,42730
1612814400,43071
1612818000,44195
1612821600,44705
1612825200,44737
1612828800,46439
1612832400,46744
1612836000,46190
1612839600,45727
1612843200,46646
1612846800,46899
1612850400,46928
1612854000,48199
1612857600,47623
1612861200,47191
1612864800,46464
1612868400,45673
1612872000,46427
1612875600,45319
1612879200,46318
1612882800,46658
1612886400,46841
1612890000,46515
1612893600,46519
1612897200,47059
1612900800,47140
1612904400,47156
1612908000,47295
1612911600,46897
1612915200,46486
1612918800,46553
1612922400,46311
1612926000,46357
1612929600,46241
1612933200,46055
1612936800,46188
1612940400,46556
1612944000,46628
1612947600,46734
1612951200,46631
1612954800,46702
1612958400,46658
1612962000,45795
1612965600,45711
1612969200,45026
1612972800,44377
1612976400,44804
1612980000,45007
1612983600,45129
1612987200,45252
1612990800,44593
1612994400,45020
1612998000,45223
1613001600,44862
1613005200,44248
1613008800,44205
1613012400,44791
1613016000,45442
1613019600,44755
1613023200,44656
1613026800,44597
1613030400,44763
1613034000,45063
1613037600,45559
1613041200,46354
1613044800,46097
1613048400,46560
1613052000,47536
1613055600,47937
1613059200,48039
1613062800,47617
1613066400,47413
1613070000,47706
1613073600,47805
1613077200,47064
1613080800,46909
1613084400,47780
1613088000,48034
1613091600,47987
1613095200,48520
1613098800,47959
1613102400,47602
1613106000,47298
1613109600,47302
1613113200,47391
1613116800,47337
1613120400,47128
1613124000,47390
1613127600,47440
1613131200,47632
1613134800,47741
1613138400,47904
1613142000,46598
1613145600,47124
1613149200,47674
1613152800,47781
1613156400,47297
1613160000,47302
1613163600,47671
1613167200,47956
1613170800,47962
1613174400,47388
1613178000,47556
1613181600,47725
1613185200,47939
1613188800,47906
1613192400,47991
1613196000,47981
1613199600,47816
1613203200,47070
1613206800,47501
1613210400,47269
1613214000,46703
1613217600,46601
1613221200,46926
1613224800,46991
1613228400,46989
1613232000,47107
1613235600,47172
1613239200,46847
1613242800,46802
1613246400,46883
1613250000,46966
1613253600,47166
1613257200,47104
1613260800,47215
1613264400,47643
1613268000,47538
1613271600,47483
1613275200,47331
1613278800,47584
1613282400,48958
1613286000,48798
1613289600,48765
1613293200,48723
1613296800,49168
1613300400,49061
1613304000,49066
1613307600,49464
1613311200,48784
1613314800,48775
1613318400,48601
1613322000,49032
1613325600,48652
1613329200,48773
1613332800,48723
1613336400,48955
1613340000,48878
1613343600,49063
1613347200,48646
1613350800,48793
1613354400,48065
1613358000,46943
1613361600,47170
1613365200,46878
1613368800,46779
1613372400,46926
1613376000,47297
1613379600,47636
1613383200,47529
1613386800,47880
1613390400,47856
1613394000,48000
1613397600,47999
1613401200,47563
1613404800,48002
1613408400,48529
1613412000,48599
1613415600,48384
1613419200,48690
1613422800,48617
1613426400,48205
1613430000,48291
1613433600,47910
1613437200,47671
1613440800,48309
1613444400,48451
1613448000,49599
1613451600,49341
1613455200,49172
1613458800,48992
1613462400,49174
1613466000,49263
1613469600,49266
1613473200,49007
1613476800,48895
1613480400,49615
1613484000,48936
1613487600,49288
1613491200,48985
1613494800,48142
1613498400,48242
1613502000,48665
1613505600,48550
1613509200,48791
1613512800,48582
1613516400,49128
1613520000,49152
1613523600,49036
1613527200,49280
1613530800,49697
1613534400,49679
1613538000,49369
1613541600,49736
1613545200,50628
1613548800,51160
1613552400,51079
1613556000,51528
1613559600,51246
1613563200,51307
1613566800,51073
1613570400,51149
1613574000,51245
1613577600,51161
1613581200,51226
1613584800,51395
1613588400,51441
1613592000,52132
1613595600,52230
